,bus,vLN,sInjkW
427,141.2,(-207.11269369865875-118.7597734275272j),(-0+0j)
428,141.3,(0.5995908623477301+238.8774399762224j),0j
429,142.1,(205.74935915304883-119.7094942498246j),-0j
430,142.2,(-206.92754275878548-118.50147712992151j),(-0+0j)
431,142.3,(0.6365947943299107+238.42975981096964j),0j
432,143.1,(205.7523308382984-119.71113312117589j),-0j
433,143.2,(-206.92835631274872-118.50303008059022j),(-0+0j)
434,143.3,(0.6369384554044439+238.43084477665522j),0j
435,144.1,(205.34525465295283-119.66770936837304j),-0j
436,144.2,(-206.65929577441338-118.27330438295434j),(-0+0j)
437,144.3,(0.7474739734380462+237.90766801741157j),0j
438,145.1,(205.34525465295124-119.6677093683726j),-0j
439,145.2,(-206.6592957744142-118.27330438295357j),(-0+0j)
440,145.3,(0.7474739734380433+237.9076680174119j),0j
441,146.1,(205.3413929328033-119.66700696040678j),-0j
442,146.2,(-206.65699617192456-118.27115235642191j),(-0+0j)
443,146.3,(0.748269737830543+237.90330573949745j),0j
444,147.1,(206.27670562736424-119.83067515743159j),-0j
445,147.2,(-207.1156119109642-118.75056977958808j),(-0+0j)
446,147.3,(0.5986080480503863+238.88422349784048j),0j
447,148.1,(206.2626587141912-119.8177178178439j),-0j
448,148.2,(-207.11810588896915-118.75285117156383j),(-0+0j)
449,148.3,(0.5977580118167583+238.88315143701115j),0j
450,149.1,(206.278116966399-119.83300449872111j),-0j
451,149.2,(-207.1177161615491-118.7532892887223j),(-0+0j)
452,149.3,(0.5981477392368426+238.88271331985274j),0j
453,150.1,(206.28760518023793-119.84200682675204j),-0j
454,150.2,(-207.1112436305285-118.75944441020027j),(-0+0j)
455,150.3,(0.5996105931129323+238.8774440508867j),0j
456,151.1,(205.74603862459307-119.70766299297868j),-0j
457,151.2,(-206.9266337025233-118.4997418799025j),(-0+0j)
458,151.3,(0.6362107912201003+238.4285474822304j),0j
459,152.1,(205.74935915304883-119.70949424982462j),-0j
460,152.2,(-206.92754275878545-118.50147712992154j),(-0+0j)
461,152.3,(0.6365947943299282+238.42975981096964j),0j
462,153.1,(205.3452546529534-119.66770936837318j),-0j
463,153.2,(-206.65929577441332-118.27330438295475j),(-0+0j)
464,153.3,(0.7474739734380476+237.9076680174114j),0j
